title,director,cast,country,subgenre
The Parenting,Craig Johnson,"Nik Dodani , Brandon Flynn , Parker Posey , Vivian Bang , Lisa Kudrow , Dean Norris , Brian Cox , Edie Falco",United States,Comedy horror
The Red Mask,Ritesh Gupta,"Helena Howard , Inanna Sarkis , Jake Abel",United States,"Horror, Slasher"
The Return of the Great God Pan,Brett Stillo,"Richard Nichols , Sarah Leight , Jeffry Teraud",United States,"Horror, Religious Horror"
The Ritual,David Midell,"Al Pacino , Dan Stevens , Ashley Greene , Abigail Cowen , Patricia Heaton",United States,Horror
The Shallows,Banchang Xia,"Xiaoyun Chen, Sinan Li, Wang Sen",China,Adventure Horror Thriller
The Sticks,Peter Kominek,"Shelby Cox-Dersch, Jody Cox, Gin Fedotov",Canada,Horror
The Strangers – Chapter 2,Renny Harlin,Madelaine Petsch,United States,Horror
The Surrender,Julia Max,"Colby Minifie , Kate Burton","Canada, United States",Supernatural Horror
Undertone,Ian Tuason,"Nina Kiri , Kris Holden-Ried",Canada,Horror
The Ugly Stepsister,Emilie Blichfeldt,"Lea Myren, Thea Sofie Loch Næss, Ane Dahl Tor",Norway,Body horror
The Virgin of the Quarry Lake,Laura Casabé,"Dolores Oliverio, Luisa Merelas, Fernanda Echevarría, Dady Brieva","Argentina, Mexico, Spain",Coming-of-age horror
The Woman in the Yard,Jaume Collet-Serra,"Danielle Deadwyler , Okwui Okpokwasili , Russell Hornsby , Peyton Jackson, Estella Kahiha",United States,Horror thriller
This Is Not a Test,Adam MacDonald,"Olivia Holt , Froy Gutierrez , Carson MacCormac , Luke MacFarlane","Canada, United States",Apocalyptic Horror
Together,Michael Shanks,"Dave Franco , Alison Brie , Damon Herriman , Mia Morrissey , Karl Richmond, Jack Kenny","Australia, United States",Supernatural body horror
Touch Me,Addison Heimann,"Olivia Taylor Dudley , Jordan Gavaris , Lou Taylor Pucci , Marlene Forte , Paget Brewster",United States,Psychosexual comedy horror
Treasures of Terror: Vol 3,Erik Lundmark,"Kateryna Kyseleva, Amy-Helene Carlson, Will Toussant",United States,Horror Drama
Treasures of Terror: Vol 4,"Vera VanGuard, Ianua Coeli Linhart, Bert Dobbelaere",United States,Horror,[ 246 ]
Trick and Treats,Eric Hector,"Oliver Adamson, Sarah Allison, Briar Barnes",United States,Horror
Troll 2,Roar Uthaug,"Ine Marie Wilmann , Kim S. Falck-Jørgensen, Mads Sjøgård Pettersen",Norway,Monster
Until Dawn,David F. Sandberg,"Ella Rubin , Michael Cimino , Ji-young Yoo , Odessa A'zion , Maia Mitchell , Belmont Cameli , Peter Stormare",United States,Horror
Uncontained,Morley Nelson,"Morley Nelson, Hayley LeBlanc, Peter O'Meara",United States,Zombie Horror
Untold,Derick Cabrido,"Jodi Sta. Maria , Juan Karlos Labajo , Kaori Oinuma , Mylene Dizon , Joem Bascon , Lianne Valentin , Sarah Edwards, Gloria Diaz",Philippines,psychological horror
V/H/S/Halloween,Bryan M. Ferguson Casper Kelly Micheline Pitt-Norman & R.H. Norman Alex Ross Perry Paco Plaza Anna Zlokovic,TBA,United States,Horror
Vash Level 2,Krishnadev Yagnik,"Janki Bodiwala , Hitu Kanodia , Hiten Kumar , Monal Gajjar",India,Suspense Thriller
Vicious,Bryan Bertino,"Dakota Fanning , Kathryn Hunter , Mary McCormack , Rachel Blanchard , Devyn Nekoda",United States,Horror
War of the Worlds,Rich Lee,"Ice Cube , Eva Longoria , Clark Gregg , Iman Benson , Henry Hunter Hall , Devon Bostick , Michael O'Neill , Andrea Savage",United States,Screenlife Sci-Fi Thriller
We Bury the Dead,Zak Hilditch,"Daisy Ridley , Mark Coles Smith , Brenton Thwaites , Matt Whelan","Australia, United States",Survival Horror thriller
Weapons,Zach Cregger,"Josh Brolin , Julia Garner , Alden Ehrenreich , Benedict Wong , Austin Abrams , Amy Madigan , June Diane Raphael",United States,Horror
Welcome Home Baby,Andreas Prochaska,"Julia Franz Richter, Reinout Scholten van Aschat , Gerti Drassl, Maria Hofstätter , Gerhard Liebmann","Austria, Germany",Horror
Werewolf Game,Jackie Payne Cara Brennan,"Tony Todd , Lydia Hearst , Bai Ling , Robert Picardo",United States,Horror
Whistle,Corin Hardy,"Dafne Keen , Sophie Nélisse , Nick Frost , Sky Yang , Percy Hynes White","Canada, United States, Ireland",Teen horror
Wolf Man,Leigh Whannell,"Christopher Abbott , Julia Garner",United States,Monster
Womb,Bridget Smith,"Myles Clohessy, Taylor Hanks, Ellen Adair , Abbey Hafer, Corrie Graham , Brian Anthony Wilson , Elizabeth Yu",United States,Horror
World Breaker,Brad Anderson,"Luke Evans , Milla Jovovich , Billie Boullet","United States, United Kingdom",Science Fiction Action Horror
Your Host,DW Medoff,"Jackie Earle Haley , Ella-Rae Smith , Jamie Flatters",United States,Horror
Ziam,Kulp Kaljareuk,"Johnny Anfone , Nuttanicha Dungwattanawanich , Mark Prin Suparat",Thailand,Zombie Horror Action
